"name","url","notes","email","phone","contact","type_community","civic_taxonomy","district","neighborhood","categories","ownership","ethnicity","size_organization","address","zipcode","source"
"Chinatown/International District Business Improvement Area","http://www.cidbia.org/","Promote economic vitality, encourage responsible business development and support improvement of quality of life","julia@cidbia.org","206-382-1197","Julia Nelson","Business","Neighborhood","Downtown","International District","Service provider","Community group",,3,"507 S King St",98104,"DPR"
"Chinese Chamber of Commerce","http://www.seattlechinesechamber.org/","Brings together civic, professional, and business leaders from the Chinese community","leepak@msn.com","206-423-6870","Paul Lee","Business","RSJ","Downtown","International District","Advocacy","Community group","Chinese",0,"675 South King Street",98104,"DON"
"Chinese Information and Service Center","http://cisc-seattle.org/","Provides information, referral, advocacy, and family support services to help Chinese and other Asian immigrants succeed","alaricb@cisc-seattle.org","206-624-5633","Alaric Bien","RSJ","Employment; Seniors","Downtown","International District","Service provider","Nonprofit","Chinese",6,"611 S Lane St",98104,"DON"
"Citizens for Off-Leash Areas","http://coladog.org/","Support and maintain Seattle's off-leash dog parks","cola@coladog.org","206-264-5573",,"Environment","Parks; Social action","Citywide",,"Service provider","Nonprofit",,0,"PO Box 17469",98127,"DPR"
"Citizens Sand Point Planning Association",,"Preserve, restore, and expand Magnuson Park","csppa@magnusonpark.org","206-523-9103",,"Environment","Parks","Northeast","Sand Point","Advocacy","Community group",,0,"7132 58th Ave NE",98115,"DPR"
"City Club","http://seattlecityclub.org/","Informs, connects and engages citizens to evaluate and help solve complex issues vital to our region","cityclub@seattlecityclub.org","206-682-7395",,"Social justice","Social action","Downtown",,"Advocacy","Nonprofit",,5,"1333 Fifth Avenue, Suite 24",98101,"DPR"
"City Neighborhood Council","http://www.cityofseattle.net/neighborhoodcouncil/","Coordinate the Neighborhood Matching Fund, Neighborhood Budget Prioritization, and Neighborhood Planning programs and provide a forum for discussion of neighborhood problems","cleman@oo.net",,"Chris Leman","Community council","Planning","Citywide",,"Advocacy","Community group",,0,,,"DPR"
"City Year","http://www.cityyear.org/seattle.aspx","Coordinates year-long volunteers aged 17-24 and other volunteer programs","dgriggs@cityyear.org","206-219-5010",,"Youth & family","Social action","Citywide",,"Volunteerism","Nonprofit",,15,"2203 23rd Ave S Suite 101 ",98144,"DPR"
"Coalition of West Seattle Human Service Providers",,"Coordinate and unite actions of West Seattle human service providers","sdaschle@swyfs.org","206-937-7680","Steve Daschle","Social justice","Social action","Citywide","South Seattle","Advocacy","Community group",,0,,98126,"DPR"
"College Access Now","http://www.collegeaccessnow.org/","Recruits and assists low income and disadvantaged students in the college admissions process","jennie@CollegeAccessNow.org; info@CollegeAccessNow.org",,"Jennie Flaming","Youth & family","Education; Social justice","Citywide",,"Service provider","Nonprofit",,3,"PO Box 22999",98122,"DON"
"College Success Foundation","http://collegesuccessfoundation.org/Page.aspx?pid=421","Prepare and assist low-income and underserved youth in pursuing higher education and career goals","info@collegesuccessfoundation.org","425-416-2000",,"Youth & family","Education; Social justice","Citywide",,"Service provider","Nonprofit",,"Regional","1605 NW Sammamish Road Suite 200 Issaquah",98027,"DON"
"Colman Neighborhood Association Safety Committee","http://www.ci.seattle.wa.us/commnty/CNA/committees/safety.htm","Create community based solutions to issues that threaten the safety of our neighborhhod","hbell@seattleacademy.org",,"Halsey Bell","Community council","Public safety","Southeast","Columbia City","Advocacy","Community group",,0,,98144,"DPR"
"Columbia City - United Indians of All Tribes","http://unitedindians.org/about_staff.html","Support local Indians by providing foster care, family services, and GED assistance","lcollis@unitedindians.org","206-723-2825","Lara Collis","RSJ","Education; Homelessness","Southeast","Columbia City","Service provider","Nonprofit","Native American",7,"3712 S Ferdinand St",98118,"DPR"
"Columbia City Business Association","http://www.columbiacityseattle.com/","Business and community coming together for neighborhood improvement","mohnrobert@qwest.net; mohnrobert@comcast.net ","206-922-3656","Rob Mohn","Business","Neighborhood","Southeast","Columbia City","Advocacy","Community group",,0,"3827A South Edmunds St",98118,"DON"
"Columbia City Revitalization Committee","http://www.rainiervalley.org/Ccrc1.htm","Support a strong and active business and community core in Columbia City","eht@qwest.net",,"Eric Tweit","Community council","Neighborhood","Southeast","Columbia City","Advocacy","Community group",,0,,98118,"DPR"
"Columbia Place Community Council","http://groups.yahoo.com/group/columbiacityseattle/","Provide a forum for community discussion and support","columbiacityseattle-owner@yahoogroups.com",,,"Community council","Neighborhood","Southeast","Columbia City","Information","Community group",,0,,98118,"DPR"
"Committee for Children","http://www.cfchildren.org/","Prevent bullying, violence, and child abuse through social services","info@cfchildren.org; ssimonsen@cfchildren.org","206-343-1223",,"Youth & family","Abuse","Citywide",,"Service provider","Nonprofit",,,"568 First Ave S Suite 600 ",98104,"DPR"
"Committee to Improve Linden Avenue North",,"Support efforts to improve facilities and community on Linden Ave","improvenorth@msn.com","206-363-0224","Richard Dyksterhuis","Community council","Neighborhood","Northwest","Greenwood","Advocacy","Community group",,0,"13717 Linden Ave N #112",98133,"DON"
"Community Care Network of Kin On","http://www.kinon.org/KinOnCCN.htm","Provide programs to address the health needs of the elderly and disabled in a culturally competent way","contact@kinon.org","206-652-2330","Samuel Y. Wan","RSJ","Health; Seniors","Citywide",,"Service provider","Nonprofit","Asian",8,"815 S Weller St Suite 212  ",98104,"DON"
"Community Coalition for Environmental Justice","http://ccej.org/","Achieve environmental and economic justice in low-income communities and communities of color","justice@ccej.org","206-720-0285",,"Environment","RSJ; Social justice","Citywide","South Seattle","Service provider","Community group","People of color",0,"1620 18th Ave Suite 10",98122,"DPR"
"Community Council Federation","http://seattlefederation.blogspot.com/","Provide a citywide forum for representatives from communities to gather and discuss","rickbarrett@gmail.com",,"Rick Barrett","Community council","District","Citywide",,"Advocacy","Community group",,0,,,"DPR"
"Community Partnership Forum - Public Stadium Authority","http://www.qwestfield.com/venue/stadiumfacts.aspx","Provide a community forum for issues pertaining to Qwest Field","davidyo@qwestfield.com","206-381-7940","David Young","Environment","Neighborhood","Greater Duwamish","SODO","Advocacy","Community group",,4,"800 Occidental Ave S #700",98134,"DPR"
"Consejo Counseling and Referral Service","http://consejocounseling.org/","Provide behavioral health, substance abuse and domestic violence services to Latinos so they may participate fully in their communities","mario@consejo-wa.org","206-461-4880","Mario Parades","RSJ","Substance abuse; Abuse","Citywide",,"Service provider","Nonprofit","Latino",18,"3808 S Angeline St",98118,"DON"
"Conservation Northwest","http://www.conservationnw.org/","Protects and connects wild land and wildlife","jasmine@conservationnw.org","206-675-9747",,"Environment","Resources","Citywide",,"Service provider","Nonprofit",,21,"3600 15th Ave. West, #101",98119,"DPR"
"Cottage Grove Neighborhood Council",,"Address community issues","edwardlaymonsr@yahoo.com",,"Edward Laymon","Community council","Neighborhood","Delridge","Cottage Grove","Advocacy","Community group",,0,"5400 30th Ave SW",98126,"DON"
"Courtland Action Team",,"Represent the interests of residents in the Courtland area",,"206-383-1716","Diana Vibh","Community council","Neighborhood","Southeast","Mt. Baker","Advocacy","Community group",,0,"3618 Courtland Place S",98144,"DPR"
"Coyote Central","http://www.coyotecentral.org/","Provides hands-on workshops for adolescents with professionals from creative fields","cstelle@coyotecentral.org","206-323-7276","Claudia Stelle","Youth & family","Arts","Citywide",,"Education","Nonprofit",,3,"2719 E. Madison #201",98112,"DON"
"Crown Hill Business Association","http://crownhillbusiness.org/","Work with businesses and neighbors to make Crown Hill a great place to work, shop, live and play","crownhillba@hotmail.com; jackseifert@hotmail.com","206-789-1020","Jack Seifert","Business","Neighborhood","Ballard","Crown Hill","Advocacy","Community group",,0,"8329 15th Ave NW",98117,"DPR"
"Crown Hill Neighborhoods","http://crownhillneighbors.org/wp/","Strengthen community through programs, events and community outreach","ryan@crownhillneighbors.org; info@crownhillneighbors.org",,"Ryan McFarland","Community council","Neighborhood","Ballard","Crown Hill","Service provider","Community group",,0,"10115 Greenwood Ave N",98133,"DPR"
"Cultivating Youth","http://www.pugetsoundschoolgardens.org/highpoint/index.php; http://cultivatingyouth.org","Provide low-income youth with gardening-based nutrition education","acacia@cultivatingyouth.org","206-252-9450","Acacia Larson","Youth & family","Education; Social justice; Health","Citywide","High Point, Rainier Valley, NewHolly","Education","Community group",,0,"6760 34 Ave SW ",98126,"DPR"
"Delridge District Council ","http://www.cityofseattle.net/neighborhoodcouncil/members.htm","Advise the city on budget issues and provide a forum for community discussion","bayouwonder@comcast.net","206-579-4373 ","Pete Spalding","Community council","District","Delridge",,"Advocacy","Community group",,0,,98126,"DPR"
"Delridge Neighborhood Service Center","http://www.seattle.gov/neighborhoods/nsc/delridge.htm","Provides information, referrals, and city services","ron.angeles@seattle.gov","206-684-7417","Ron Angeles","Social justice","Education","Delridge",,"Service provider","Community group",,,"5405 Delridge Way SW",98106,"DPR"
"Delridge Neighborhoods Development Association","http://www.dnda.org/","Support a thriving Delridge through community services and engagement","derekb@dnda.org","206-923-0917","Derek Birnie ","Community council","Neighborhood","Delridge",,"Service provider","Nonprofit",,26,"5411 Delridge Way SW",98106,"DPR"
"Denise Louie Education Center - Beacon Hill Branch","www.deniselouie.org","Provide quality, multi-cultural early childhood education services to children and their families","jdeguchi@deniselouie.org","206-725-9740","Janice Yee","RSJ","Education","Greater Duwamish","Beacon Hill","Service provider","Nonprofit","Chinese",,"3327 Beacon Ave. S.",98144,"DON"
"Denise Louie Education Center - International District Branch","www.deniselouie.org","Provide quality, multi-cultural early childhood education services to children and their families","jdeguchi@deniselouie.org","206-621-7880","Janice Yee","RSJ","Education","Downtown","International District","Service provider","Nonprofit","Chinese",,"801 S Lane St",98104,"DON"
"Denise Louie Education Center - Lake Washington Branch","www.deniselouie.org","Provide quality, multi-cultural early childhood education services to children and their families","jdeguchi@deniselouie.org","206-721-0214","Janice Yee","RSJ","Education","Southeast","Seward Park","Service provider","Nonprofit","Chinese",,"9061 Seward Park Ave. S., Building 16",98118,"DON"
"Denny Hill Association",,"Provide neighborhood upkeep and improvement","bea_kumasaka@msn.com","206-448-3472","Bea Kumasaka","Community council","Neighborhood","Downtown","Denny ","Service provider","Community group",,0,"2030 Western Ave Ste 401",98181,"DON"
"Denny Triangle Neighborhood Association","http://dennytriangle.org/getInvolved/neighborhoodAsc","Maintain and enhance neighborhood quality of life and provide a forum on the neighborhood plan ","lkrizanich@cliseproperties.com","206-623-7500","Lyn Krizanich","Community council","Neighborhood","Downtown","Denny ","Advocacy","Community group",,0,,98121,"DPR"
